Checked,Status,Unpublished,ID,Label,Alternate Title,Corporate Name,Personal Name,Personal Name Verbose,Place of Publication or Production,Publisher,Date of Publication or Production,Summary,Notes,Topic,Type,Format,Language,Extent,Dimensions,Rights Statement,Library Call Number,Link,Identifier
TRUE,,,CSL00053,"Letter from Chicano Center to Compass Newspaper, February 24, 1969",,"University of California, Berkeley. Chicano Center","Delgado, Manuel|Ramírez, Felix T.","Delgado, Manuel|Ramírez, Felix T.","Berkeley, California",,1969,"Letter from the Chicano Center at U.C. Berkeley, to the Compass Newspaper, February 24, 1969, requesting subscription and back copies of the newspaper ""Compass"" from Houston, Texas, for the development of the new Chicano Studies Library. Signed by Manuel Delgado, vice-chairman of the Mexican-American Student Confederation. With a handwritten reply from Felix T. Ramírez, editor, March 25, 1969.",,"University of California, Berkeley. Chicano Studies Library|Compass (Houston, Tex.)|Chicano Serials Collection",Letters,text,English,1 page,8.5 x 11 inches,,,,
TRUE,,,CSL00054,Chicano Thesaurus for Indexing Chicano Materials,Chicano Thesaurus,"University of California, Berkeley. Chicano Studies Library|University of California, Santa Barbara. Library. Colección Tloque Nahuaque|Committee for the Development of Subject Access to Chicano Literatures","Chabrán, Richard|Trujillo, Roberto G.|Yañez, Elva|Castro, Rafaela|Treviño, Oscar|García-Ayvens, Francisco","Chabrán, Richard|Trujillo, Roberto G.|Yañez, Elva|Castro, Rafaela|Treviño, Oscar|García-Ayvens, Francisco, 1948-2018","Santa Barbara, California","University of California, Berkeley. Chicano Studies Library.|University of California, Santa Barbara. Library. Colección Tloque Nahuaque",1979,"The Chicano Thesaurus, in its first edition, 1979, published jointly by the Chicano Studies Library at U.C. Berkeley, and the Colección Tloque Nahuaque at U.C. Santa Barbara. It was compiled by the Committee for the Development of Subject Access to Chicano Literatures: Richard Chabrán, Roberto G. Trujillo, Elva Yañez, Rafaela Castro, Francisco García, and Oscar Treviño. The thesaurus served as an indexing tool for the Chicano Periodical Indexing Project and for cataloging and indexing of other library collections related to Chicano literature and experience.","First edition. Most of the approximately 700 entries are in English, although some are in Spanish",Chicano Thesaurus|Knowledge organization,Controlled vocabularies|Internal documents,text,English|Spanish,104 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991020353179706532,
TRUE,,,CSL00055,"Chicano Database Press Release, with Logo",Chicano Database Project,"University of California, Berkeley. Chicano Studies Library",,,"Berkeley, California",,1983?,A press release for the Chicano Database project including a description of the project and projections for its future.,,Chicano Database|Technologies,Press releases,text,English,2 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00056,Proposal for the Establishment of a National Clearinghouse for Chicano Serials ,,"University of California, Berkeley. Chicano Studies Library","García-Ayvens, Francisco","García-Ayvens, Francisco, 1948-2018","Berkeley, California",,1980,"A preliminary draft (for comment and review, December 12, 1980) of a proposal for the establishment of a national clearinghouse for Chicano Serials, including proposed plan and budget.",Preliminary draft,Chicano Periodical Index|Chicano Serials Collection,Proposals|Internal documents,text,English,12 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,See also CSL00069 (final version?),,CSL00057,Chicano Information Management Consortium of CA: Draft,,"University of California, Berkeley. Chicano Studies Library|University of California, Santa Barbara. Library. Colección Tloque Nahuaque|University of California, Los Angeles. Chicano Research Library
","Castillo-Speed, Lillian|Chabrán, Richard|Güereña, Salvador","Castillo-Speed, Lillian|Chabrán, Richard|Güereña, Salvador",California,,1986?,"A draft description of the Chicano Information Management Consortium, a network between Chicano Studies Library of U.C. Berkeley, the Colección Tloque Nahuaque of U.C. Santa Barbara, and the Chicano Research Library of U.C.L.A.
",Draft,Chicano Information Management Consortium of California|Chicano studies|Chicano studies libraries|Networks,,text,English,4 pages,8.5 x 11 inches,,,,
TRUE,,,CSL00058,"Letter from Thomas D. Holt, Vort Corporation, to Richard Chabrán, December 12, 1979",,Vort Corporation,"Holt, Thomas D.|Chabrán, Richard","Holt, T. D. (Thomas D.)|Chabrán, Richard","Palo Alto, California",,1979,"A letter from Thomas D. Holt, president Vort Corporation, to Richard Chabrán, December 12, 1979, describing a proposal and budget estimate for the company's systems and services related to the Chicano Periodical Indexing Project and a national directory.",,Chicano Database|Chicano Periodical Index|Information storage and retrieval systems|Vort Corporation|Technologies,Letters|Proposals,text,English,2 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00059,Chicano Librarians Workshop,Amoxcalli,Reforma (Association). El Paso Chapter,"Caballero, Cesar","Caballero, Cesar","El Paso, Texas",,1978,"An article titled ""Chicano Librarians Workshop"" by Cesar Caballero, extracted from ""Amoxcalli."" The article describes a series of events, including a workshop titled ""Computer Based Reference Workshop"" that was sponsored by the Chicano Periodical Indexing Project, and held in Los Angeles, California, July 24-25, 1978, along with a round-table on accessibility of Chicano serials and a business meeting for the Chicano Periodical Indexing Project, held in Berkeley, California, July 27-28, 1978.","Excerpt from an issue of the ""Amoxcalli"" newsletter of the El Paso Chapter of Reforma.",Chicano Periodical Index|Chicano librarians|Exhibits and events|Networks,Newsletters|Articles,text|extract|serial,English,1 page,8.5 x 11 inches,,,,
TRUE,,,CSL00060,"Letter from Norma Radin, University of Michigan, to Richard Chabrán, January 10, 1978",,University of Michigan. School of Social Work,"Radin, Norma|Chabrán, Richard","Radin, Norma, 1926-1998|Chabrán, Richard","Ann Arbor, Michigan",,1978,"Letter from Norma Radin, professor at the University of Michigan School of Social Work, to Richard Chabrán, dated January 10, 1978, expressing interest in purchasing a subscription to the Chicano Periodical Index.",,Chicano Periodical Index,Letters,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00061,"Letter from Fausto Fernández Ponte, Excélsior Newspaper, to Richard Chabrán, October 16, 1978",,"Excélsior (Mexico City, Mexico)","Fernández Ponte, Fausto|Chabrán, Richard","Fernández Ponte, Fausto, 1936-2010|Chabrán, Richard","Washington, D.C.",,1978,"Letter from Fausto Fernández Ponte, correspondent for the Mexico City newspaper Excélsior, dated October 16, 1978, expressing interest in writing a feature story about the Chicano Periodical Index.",,Chicano Periodical Index|Library outreach,Letters,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,"This is also page 1 in the full grant, CSL00064, so maybe a partial duplicate",,CSL00062,Chicano Periodical Project Index Grant Proposal Cover Page,,"University of California, Berkeley|National Endowment for the Humanities","Trujillo, Larry|Manza, August G.","Trujillo, Larry|Manza, August G., 1931-2022","Berkeley, California",,1978,"Cover page for grant proposal to the National Endowment for the Humanities, for the Chicano Periodical Indexing Project",,Chicano Periodical Index,Proposals|Internal documents,text|extract,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00063,Chicano Periodical Index Letter of Intent,CPI Letter of Intent,"University of California, Berkeley",,,"Berkeley, California",,1981,Blank form for registration of volunteer indexers for the Chicano Periodical Indexing Project.,,Chicano Periodical Index|Library administration|Knowledge organization,Blank forms|Internal documents,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,Will be redacted; description may need to be updated,,CSL00064,Chicano Periodical Indexing Project Grant Proposal to National Endowment for the Humanities Research Materials Programs -Tools ,,"University of California, Berkeley|National Endowment for the Humanities","Trujillo, Larry|Manza, August G.","Trujillo, Larry|Manza, August G., 1931-2022","Berkeley, California",,1978,"Full grant proposal to the National Endowment for the Humanities, for the Chicano Periodical Indexing Project",,Chicano Periodical Index|Knowledge organization,Proposals|Internal documents,text,English,66 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,See also CSL00035 (2003 draft),,CSL00065,Chicano Periodical Index Processing Manual,,"University of California, Berkeley. Chicano Studies Library","Chabrán, Richard","Chabrán, Richard","Berkeley, California",,1978?,"A processing manual for the Chicano Periodical Index, compiled by Richard Chabrán.",,Chicano Periodical Index|Knowledge organization,Internal documents|Manuals,text,English,11 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00066,Chicano Periodical Index Launch Press Release,,"University of California, Berkeley. Chicano Studies Library|Aztlán Publications (University of California, Los Angeles. Chicano Studies Center)","Chabrán, Richard|Gómez-Quiñones, Juan","Chabrán, Richard|Gómez-Quiñones, Juan","Berkeley, California",,1978,"Press release for the Chicano Periodical Indexing Project, along with a cover letter inviting Aztlán Publications to donate a set or subscription to Aztlán for the project. It bears receipt stamps of Aztlán Publications and a routing slip initialed JGQ (Juan Gómez-Quiñones).",,Chicano Periodical Index|Library outreach|Networks,Press releases,text,English,4 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00067,"G.K. Hall Publicity Mailer for Chicano Periodical Index, 1979-1981","New from G.K. Hall: Chicano Periodical Index, 1979-1981",G.K. Hall & Company,,,"Boston, Massachusetts",G.K. Hall & Company,1981?,"Mail brochure for the Chicano Periodical Index, from publisher G.K. Hall and Company. Includes a description of the index and ordering information.",,Chicano Periodical Index,Advertisements|Brochures,text,English,4 pages,8.5 x 11 inches,,,,
TRUE,,,CSL00068,"Chicano Periodical Indexing Project, General Meeting Minutes",,"University of California, Berkeley. Chicano Studies Library|University of Texas at El Paso. Library. Chicano Services Section|University of California, Santa Barbara. Library. Colección Tloque Nahuaque
","Chabrán, Richard|Caballero, Cesar|Baeza, Gilda|Quintana, Helena|Trujillo, Roberto G.|Urzúa, Roberto
","Chabrán, Richard|Caballero, Cesar|Baeza, Gilda|Quintana, Helena|Trujillo, Roberto G.|Urzúa, Roberto
","El Paso, Texas",,1978,"Minutes from a general meeting of Chicano Periodical Indexing Project participants, held at the University of Texas at El Paso, possibly in early 1978. It was chaired by Richard Chabrán, with attendees Gilda Baeza (UNM), Cesar Caballero (UTEP), Helena Quintana (NMHU), Roberto Trujillo (UCSB), and Roberto Urzúa (UTA)",,Chicano Periodical Index|Networks,Meeting minutes|Internal documents,text,English,4 pages,8.5 x 11 inches,,,,
TRUE,See also CSL00057 (earlier draft),,CSL00069,Chicano Information management Consortium of CA,,"University of California, Berkeley. Chicano Studies Library|University of California, Santa Barbara. Library. Colección Tloque Nahuaque|University of California, Los Angeles. Chicano Research Library
","Castillo-Speed, Lillian|Chabrán, Richard|Güereña, Salvador","Castillo-Speed, Lillian|Chabrán, Richard|Güereña, Salvador",California,,1986?,"A description of the Chicano Information Management Consortium, a network between Chicano Studies Library of U.C. Berkeley, the Colección Tloque Nahuaque of U.C. Santa Barbara, and the Chicano Research Library of U.C.L.A.",,Chicano Information Management Consortium of California|Chicano studies|Chicano studies libraries|Networks,,text,English,4 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00070,Entry Card from old Serials Catalog Drawer,,"University of California, Berkeley. Chicano Studies Library",,,"Berkeley, California",,between 1977 and 1981?,Card catalog for El Boletín de Chicano Studies.,,"University of California, Berkeley. Chicano Studies Library|Chicano Serials Collection|Knowledge organization",Catalog cards|Internal documents,text,English,1 page,3 x 5 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00071,Sample Serials Check In Card,,"University of California, Berkeley. Chicano Studies Library",,,,,1976-1979?,"Serials Checkin Card for Trabajadores de la Raza, showing an entry date of 1976 and on the reverse, the holdings from 1969-1979.",,"University of California, Berkeley. Chicano Studies Library|Chicano Serials Collection|Knowledge organization",Catalog cards|Internal documents,text,English,2 pages,8 x 5 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00072,"Voz de La A.B.C., Volume 1, Number 4, May 1976",Noticias de la A.B.C.,Asociación de Bibliotecas Chicanas,,,"Berkeley, California",Asociación de Bibliotecas Chicanas,1976,"Volume 1, Number 4, May 1976 issue of the ""Voz de la A.B.C."" Newsletter from the Asociación de Bibliotecas Chicanas. ",,Asociación de Bibliotecas Chicanas|Chicano studies libraries|Networks,Newsletters,text|serial,English,4 pages,8.5 x 11 inches,,,,
TRUE,,TRUE,CSL00073,Posters from the Chicano Studies Library Collection,CSL Collection Posters,"Movimiento Estudiantil Chicano de Aztlán (Berkeley, Calif.)",,,California,,1968-1980?,"A collection of six posters, most of which advertise events. Includes: a dance and festival in Richmond, California; a benefit dance at Casa Joaquin Murieta, Berkeley; a Latin-American women's song and poetry event in Oakland and Berkeley; a farmworkers' benefit at Associação Protectora União Madeirense do Estado da Califórnia (APUMEC) Hall in Oakland; an image of the Virgen de Guadalupe; a MEChA/AFL-CIO grape boycott demonstration in Coachella, in support of farmworkers. Years are not given but estimated between 1968 and 1980.",,"Chicano students|University of California, Berkeley|Movimiento Estudiantil Chicano de Aztlán (Berkeley, Calif.)|Chicano culture|Boycotts|Strikes and protests|Arts and literature|Exhibits and events",Posters,image,Spanish|English,6 posters,9 x 11 inches,,,,
TRUE,,,CSL00074,Biblio-Política: Chicano Perspectives on Library Service in the United States (cover and title page),Bibliopolítica,,"García-Ayvens, Francisco|Chabrán, Richard|Montoya, Malaquías","García-Ayvens, Francisco, 1948-2018|Chabrán, Richard|Montoya, Malaquías","Berkeley, California",Chicano Studies Library Publications Unit,1984,"Cover and title page from Biblio-Política: Chicano Perspectives on Library Service in the United States, edited by Francisco García-Ayvens and Richard Chabrán, 1984. Cover illustration adapted from original drawings by Malaquías Montoya",Cover and title page only.,"Chicano studies libraries|Library science|Biblio-Política|University of California, Berkeley. Chicano Studies Library. Publications Unit",,publication|extract|text,English,2 pages,9 x 6 inches,"Ethnic Studies Library, UC Berkeley",Z716 .B5,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991065203259706532,
TRUE,,,CSL00075,Apuntes de Padilla: A Chicano Prototype for Bibliographic Research,Los Apuntes de Padilla|Biblio-Política,,"García-Ayvens, Francisco","García-Ayvens, Francisco, 1948-2018","Berkeley, California",Chicano Studies Library Publications Unit,1984,"A discussion of Raymond V. Padilla's ""Apuntes para la documentación de la cultura chicana"" from ""El Grito,"" Winter 1971-1972, and considerations for a framework for Chicano bibliography.","Extract from Biblio-Política, pages 45-54","Chicano studies|Chicano bibliography|Padilla, Raymond V.|Biblio-Política",Book chapters,publication|extract|text,English,10 pages,9 x 6 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00076,Notes on the History and Future of Major Academic Chicano Libraries,Biblio-Política,,"Chabrán, Richard","Chabrán, Richard","Berkeley, California",Chicano Studies Library Publications Unit,1984,"A history of Chicano studies libraries at universities in the United States, with detailed descriptions of the history and collections of major Chicano studies libraries in California, Arizona, and Texas.","Extract from Biblio-Política, pages 89-106",Chicano studies libraries|Biblio-Política,Book chapters,publication|extract|text,English,18 pages,9 x 6 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00077,Usefulness of the Chicano Thesaurus for Indexing Chicano Materials,The Usefulness of the Chicano Thesaurus for Indexing Chicano Materials|Biblio-Política,,"Castillo-Speed, Lillian","Castillo-Speed, Lillian","Berkeley, California",Chicano Studies Library Publications Unit,1984,A description of the Chicano Thesaurus and its usefulness for indexing Chicano materials. ,"Extract from Biblio-Política, pages 169-178",Chicano Thesaurus|Knowledge organization,Book chapters,publication|extract|text,English,10 pages,9 x 6 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00078,Bibliography of Criticism of Contemporary Chicano Literature (front and back covers),A Bibliography of Criticism of Contemporary Chicano Literature (front and back covers),,"Eger, Ernestina N.","Eger, Ernestina N.","Berkeley, California",Chicano Studies Library Publications Unit,1982,"Cover of ""A Bibliography of Criticism of Chicano Literature"" by Ernestina Eger, 1982.",Covers only,Chicano literature|Arts and literature,Bibliographies,publication|extract|text,English,2 pages,9 x 6 inches,,Z6511 .E4,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991006279469706532,
TRUE,,,CSL00079,Bibliography of Criticism of Contemporary Chicano Literature (title page),A Bibliography of Criticism of Contemporary Chicano Literature (title page),,"Eger, Ernestina N.","Eger, Ernestina N.","Berkeley, California",Chicano Studies Library Publications Unit,1982,"Title page of ""A Bibliography of Criticism of Chicano Literature"" by Ernestina Eger, 1982.",Title page only,Chicano literature|Arts and literature,Bibliographies,publication|extract|text,English,1 page,9 x 6 inches,,Z6511 .E4,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991006279469706532,
TRUE,,,CSL00080,"""Chicano library thriving"" article in Oakland Tribune, April 16, 1978",,,"Gonzalez, Louie","Gonzalez, Louie","Oakland, California",Oakland Tribune,1978,"An article titled ""Chicano Library Thriving"" by staff writer Louie Gonzalez, in the Oakland Tribune, April 16. 1978. The article describes the Chicano Studies Library, and includes a photograph and quotes from Richard Chabrán.",,"University of California, Berkeley. Chicano Studies Library|Chabrán, Richard|Recognition|Library outreach",Newspapers|Articles|Clippings,publication|extract|text|serial,English,1 page,7.5 x 13.5 inches,,,,
TRUE,,,CSL00081,Occupied America: A History of Chicanos (title page and preface),,,"Acuña, Rodolfo","Acuña, Rodolfo",New York,Harper and Row,1981,"Preface from the volume, acknowledging the Chicano Studies Libraries at U.C. Berkeley and at U.C.L.A., among other collections",Second edition. Title page and preface only.,Chicano history|Recognition,,publication|extract|text,English,2 pages,8.5 x 11 inches,,HN3.Ac93 Oc1 1981,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991002061179706532,
TRUE,,,CSL00082,"Letter from Hariette Surovell, MALDEF, to Richard Chabrán, April 13, 1978",,Mexican American Legal Defense and Educational Fund,"Surovell, Hariette|Chabrán, Richard","Surovell, Hariette|Chabrán, Richard","San Francisco, California",,1978,"A letter from Hariette Surovell, of the Mexican American Legal Defense and Educational Fund (MALDEF), to Richard Chabrán, April 13, 1978, thanking the library for its assistance with a MALDEF research project.",,"University of California, Berkeley. Chicano Studies Library|Recognition|Library outreach",Letters,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00083,"Letter from Barbara Boyd, Alameda County librarian, to Francisco García-Ayvens, May 12, 1980",,Alameda County Library System,"Boyd, Barbara Gray|Elmore, Faye|García-Ayvens, Francisco","Boyd, Barbara Gray|Elmore, Faye|García-Ayvens, Francisco, 1948-2018","Hayward, California",,1980,"A letter from Barbara Boyd, Alameda County librarian, to Francisco García-Ayvens, May 12, 1980, thanking him for loaning a copy of the Chicano Thesaurus, and its usefulness in organizing the library.",,Chicano Thesaurus|Recognition|Library outreach,Letters,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00084,Chicano Database and the CD-ROM Experience,The Chicano Database and the CD-ROM Experience|CD-ROM for Technical Services: A Panel Discussion|CD-ROM in the Library: Today and Tomorrow,"University of California, Berkeley. School of Library and Information Studies|University of California, Berkeley. University Extension","Castillo-Speed, Lillian|Duggan, Mary Kay
","Castillo-Speed, Lillian|Duggan, Mary Kay
","Boston, Massachusetts",G.K. Hall & Company,1990,"Transcript of a talk by Lillian Castillo-Speed titled ""The Chicano Database and the CD-ROM Experience"" as part of a panel discussion titled ""CD-ROM for Technical Services."" Extracted from the full volume of proceedings from the conference ""CD-ROM in the Library: Today and Tomorrow"" hosted by U.C. Berkeley Extension and School of Library and Information Studies, 1990.",Includes title page and table of contents,CD-ROMs|Knowledge organization|Technologies|Exhibits and events,Conference papers and proceedings|Book chapters,text|publication|extract,English,6 pages,8.5 x 11 inches,,Z681.3.O67 C28 1990,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991074576529706532,
TRUE,,,CSL00085,"Letter from James P. Danky to Francisco García-Ayvens, March 5, 1984",,State Historical Society of Wisconsin. Library,"Danky, James Philip|García-Ayvens, Francisco","Danky, James Philip|García-Ayvens, Francisco, 1948-2018","Madison, Wisconsin",,1984,"A letter to Francisco García-Ayvens from James Philip Danky, Newspapers and Periodicals Librarian of the State Historical Society of Wisconsin, congratulating Francisco (and Richard Chabrán) on the continuation of the Chicano Periodical Indexing Project, and proposing an exchange of certain microform reels between the libraries.",,Chicano Periodical Index,Letters,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00086,Guide to the Chicano Database on CD-ROM,,,"Ritch, Alan","Ritch, Alan","Santa Cruz, California",,1990,"A guide to using the Chicano Database on CD-ROM, prepared by Alan Ritch, 1990.",,Chicano Database|Technologies|Library outreach,Manuals,text,English,2 pages,8.5 x 11 inches,,,,
TRUE,,,CSL00087,"Letter from Cesar Caballero to Richard Chabrán, October 14, 1981",,,"Caballero, Cesar|Chabrán, Richard","Caballero, Cesar|Chabrán, Richard","El Paso, Texas",,1981,"A letter to Richard Chabrán from Cesar Caballero, University of Texas at El Paso, October 14, 1981, enclosing a copy of a colloquium paper for publication in the proceedings, mentioning the use of the Chicano Periodical Index by new librarian Juan Sandoval, and inquiring about the Chicano Organizations Directory.",,Chicano Periodical Index|Chicano studies libraries|Chicano librarians|Exhibits and events|Library outreach,Letters,text,English,2 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00088,"Memo from the Library and Research Committee to Mesa Directiva, February 7, 1977",,"University of California, Berkeley.Chicano Studies Library|University of California, Berkeley. Chicano Studies Program|Mesa Directiva|Library and Research Committee ",,,"Berkeley, California",,1977,"A memorandum from the Library and Research Committee to the Mesa Directiva, February 7, 1977, regarding the relationship between the Chicano Studies Department and the Chicano Studies Library.",,"University of California, Berkeley. Chicano Studies Library|University of California, Berkeley. Chicano Studies Program
",Letters|Internal documents,text,English,1 page,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00089,"Obreros: The Mexican Workers of el Paso, 1900-1920",,,"García, Mario T.","García, Mario T.","San Diego, California",,1975,"Photocopy of cover and one page from Mario T. García's dissertation, referencing the Chicano Studies Library.",,"University of California, Berkeley. Chicano Studies Library|Recognition",Dissertations,text|extract,English,2 pages,8.5 x 11 inches,,HN50.T312.G165 Ob60,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991079118269706532,
TRUE,,,CSL00090,"Anglos and Mexicans in the making of Texas, 1836-1986 (title page and preface)",,,"Montejano, David","Montejano, David","Austin, Texas",University of Texas Press,1987,"Cover and page xii (Acknowledgements) only, acknowledging the Chicano Studies Library, and Richard Chabrán, among other libraries and librarians. ",First edition.,"University of California, Berkeley. Chicano Studies Library|Recognition",,text|extract|publication,English,3 pages,8.5 x 11 inches,,,,
TRUE,Duplicate CSL00012,TRUE,CSL00091,"Letter from Wilma Salvatori Torri, September 10, 1974",,,"Torri, Wilma Salvatori","Torri, Wilma Salvatori","Torino, Italy",,1974,"Letter of thanks from Wilma Salvatori Torri, an Italian student who used the Chicano Studies Library for her thesis research.",,"University of California, Berkeley. Chicano Studies Library|Recognition",Letters,text,English,2 pages,8.5 x 11 inches,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00092,Bibliography of Writings on La Mujer,,,"Portillo, Cristina|Rios-Muñoz, Chela|Rodríguez, Martha","Portillo, Cristina|Rios-Muñoz, Chela|Rodríguez, Martha","Berkeley, California",Chicano Studies Library,1976,"A bibliography of literature on Chicanas, compiled by Cristina Portillo, Graciela Rios, and Martha Rodríguez, 1976.",,Chicanas|Arts and literature,Bibliographies,text|publication,English,29 pages,,"Ethnic Studies Library, UC Berkeley",Z7961 .P78 1976,https://search.library.berkeley.edu/permalink/01UCS_BER/s4lks2/cdi_hathitrust_hathifiles_txu_059173018089596,ISBN: 0918520010
TRUE,,,CSL00093,"Chicano Resource Journal and Service Handbook (Fall Quarter, 1972)",,"Movimiento Estudiantil Chicano de Aztlán (Berkeley, Calif.)","Cardona, Joseph","Cardona, Joseph","Berkeley, California",,1972,"Extract from the Fall 1972 of the ""Chicano Resource Journal and Service Handbook"" from the Movimiento Estudiantil Chicano de Aztlán (MEChA), including cover, dedication, table of contents, and excerpts mentioning the Chicano Studies Library, and the Latin American Library in Oakland.",Dedicated to Malaquías Montoya,"Movimiento Estudiantil Chicano de Aztlán (Berkeley, Calif.)|Chicano students|University of California, Berkeley. Chicano Studies Program|University of California, Berkeley. Chicano Studies Library|Montoya, Malaquías|Latin American Library (Oakland, Calif.)
",Course catalogs,text|extract,English,9 pages,,,LJ3 .C432,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991078501089706532,
TRUE,Redacted p. 5-14 because of personal info,,CSL00094,Educación en Luz Symposium,,"Mujeres del Movimiento (Berkeley, Calif.)|International House (Berkeley, Calif.)",,,"Berkeley, California",,1975,"Agenda for a symposium titled Education en Luz, sponsored by Mujeres del Movimiento and held at International House, Berkeley, California, May 17, 1975.",,Chicanas|Exhibits and events,Conference papers and proceedings,text|extract,English,4 pages,,,LC3600.M896 Ed83,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991081574239706532,
TRUE,,,CSL00095,Chicano Library Staff at UFW Headquarters in Kern County,,,"Rodríguez, Juan|Treviño, Oscar|Chabrán, Richard|Castro, Rafaela","Rodríguez, Juan|Treviño, Oscar|Chabrán, Richard|Castro, Rafaela","Kern County, California",,approximately 1976,"Professor Juan Rodriguez, Library staff and librarian Rafaela Castro visiting UFW headquarters to discuss the UFW library archive. Pictured: (front, left to right) Oscar Treviño, Richard Chabrán, Rafaela Castro; (back, left to right) Juan Rodríguez, unknown UFW staff.",,United Farm Workers|Library outreach,Photographs,image,,1 photograph,,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00096,"Chicano Library Staff in Work Room, 102 Wheeler Hall",,,"Gonzalez, John|Treviño, Oscar|Chabrán, Richard","Gonzalez, John|Treviño, Oscar|Chabrán, Richard","Berkeley, California",,approximately 1976,"Library staff taking a break, in the work room, 102 Wheeler Hall. Pictured: (background) John Gonzalez, Richard Chabrán; (foreground) Oscar Treviño.",,"University of California, Berkeley. Chicano Studies Library|Library buildings|Library administration",Photographs,image,,1 photograph,,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00097,At Front Desk in the Chicano Studies Library,,,"Carrillo, Julieta|Castillo-Speed, Lillian","Carrillo, Julieta|Castillo-Speed, Lillian","Berkeley, California",,approximately 1993,"Lillian Castillo-Speed and student workers stand at the front desk of the Chicano Studies Library. Pictured: Lillian Castillo-Speed, Julieta Carrillo, unknown student worker.",,"University of California, Berkeley. Chicano Studies Library|Library administration",Photographs,image,,1 photograph,,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00098,Memorial for Cesar Chavez,,,"Martinez, Adele","Martinez, Adele","Berkeley, California",,1993,"Students look at the memorial in honor of Cesar Chavez outside the Chicano Studies Library. Pictured: Adele Martinez, unknown.",,"Chavez, Cesar|University of California, Berkeley. Chicano Studies Library|Library outreach",Photographs,image,,1 photograph,,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,,CSL00099,Birthday Celebration in the Chicano Studies Library,,,"Castillo-Speed, Lillian|Garza, Luis Alberto de la|Delgado, Carlos","Castillo-Speed, Lillian|Garza, Luis Alberto de la|Delgado, Carlos","Berkeley, California",,1994,"Staff celebrate Lillian Castillo-Speed’s birthday in front of the stacks in the Chicano Studies library in 1994. Pictured: (left to right) Luis de la Garza, two unknown student staff, Lillian Castillo-Speed, Carlos Delgado.
",,"Castillo-Speed, Lillian|University of California, Berkeley. Chicano Studies Library|Library administration",Photographs,image,,1 photograph,,"Ethnic Studies Library, UC Berkeley",,,
